tipe_entitas,nama_entitas,tahun,nilai
Kontraktor,"Mahakam Sumber Jaya, PT",2007,3035724
Kontraktor,"Mahakam Sumber Jaya, PT",2008,1744813
Kontraktor,"Mahakam Sumber Jaya, PT",2009,3631792
Kontraktor,"Mahakam Sumber Jaya, PT",2010,1187935
Kontraktor,"Mandiri Intiperkasa, PT",2003,
Kontraktor,"Mandiri Intiperkasa, PT",2004,352481
Kontraktor,"Mandiri Intiperkasa, PT",2005,1020531
Kontraktor,"Mandiri Intiperkasa, PT",2006,897204.59
Kontraktor,"Mandiri Intiperkasa, PT",2007,1814040
Kontraktor,"Mandiri Intiperkasa, PT",2008,1979410
Kontraktor,"Mandiri Intiperkasa, PT",2009,2441500
Kontraktor,"Mandiri Intiperkasa, PT",2010,755433.84
Kontraktor,"Mantimin Coal Mining, PT",2003,
Kontraktor,"Mantimin Coal Mining, PT",2004,
Kontraktor,"Mantimin Coal Mining, PT",2005,
Kontraktor,"Mantimin Coal Mining, PT",2006,
Kontraktor,"Mantimin Coal Mining, PT",2007,
Kontraktor,"Mantimin Coal Mining, PT",2008,
Kontraktor,"Mantimin Coal Mining, PT",2009,
Kontraktor,"Mantimin Coal Mining, PT",2010,
Kontraktor,"Marunda Graha Mineral, PT",2003,
Kontraktor,"Marunda Graha Mineral, PT",2004,191226
Kontraktor,"Marunda Graha Mineral, PT",2005,788254.83
Kontraktor,"Marunda Graha Mineral, PT",2006,779598
Kontraktor,"Marunda Graha Mineral, PT",2007,1635549
Kontraktor,"Marunda Graha Mineral, PT",2008,1247519
Kontraktor,"Marunda Graha Mineral, PT",2009,876179
Kontraktor,"Marunda Graha Mineral, PT",2010,733372
Kontraktor,"Multi Harapan Utama, PT",2003,1159308
Kontraktor,"Multi Harapan Utama, PT",2004,1001505
Kontraktor,"Multi Harapan Utama, PT",2005,648073.4
Kontraktor,"Multi Harapan Utama, PT",2006,934481
Kontraktor,"Multi Harapan Utama, PT",2007,961700.79
Kontraktor,"Multi Harapan Utama, PT",2008,1717417.5
Kontraktor,"Multi Harapan Utama, PT",2009,1531207.6
Kontraktor,"Multi Harapan Utama, PT",2010,193921
Kontraktor,"Multi Tambangjaya Utama, PT",2003,
Kontraktor,"Multi Tambangjaya Utama, PT",2004,
Kontraktor,"Multi Tambangjaya Utama, PT",2005,
Kontraktor,"Multi Tambangjaya Utama, PT",2006,
Kontraktor,"Multi Tambangjaya Utama, PT",2007,
Kontraktor,"Multi Tambangjaya Utama, PT",2008,
Kontraktor,"Multi Tambangjaya Utama, PT",2009,316172.25
Kontraktor,"Multi Tambangjaya Utama, PT",2010,63416.81
Kontraktor,"Nusantara Termal Coal, PT",2003,
Kontraktor,"Nusantara Termal Coal, PT",2004,
Kontraktor,"Nusantara Termal Coal, PT",2005,
Kontraktor,"Nusantara Termal Coal, PT",2006,
Kontraktor,"Nusantara Termal Coal, PT",2007,
Kontraktor,"Nusantara Termal Coal, PT",2008,
Kontraktor,"Nusantara Termal Coal, PT",2009,
Kontraktor,"Nusantara Termal Coal, PT",2010,
Kontraktor,Pendopo Energi Batubara (D/H Pt Barito Putra),2003,
